Latitude, Longitude, Season
61.5038585148217, 24.38729139479856, Fall
65.02418571076684, 26.105774893147117, Summer
60.708454888871024, 26.020901829242444, Summer
61.499528, 23.744351, Fall
61.744520700139596, 26.074532974385253, Fall
62.548659127646324, 22.39586970356007, Fall
60.82847853880442, 22.813783354783173, Summer
60.434966, 22.236316, Summer
61.499528, 23.744351, Fall
60.180852, 24.912455, Fall
65.02188, 25.470566, Summer
61.97084766917426, 25.493452075317695, Spring
61.69070906787872, 27.902854496627253, Summer
